transaction_id,customer_id,amount,location,transaction_hour,previous_transaction_amount,international
TXN000043,CUST0063,496.31,Ahmedabad,19,395.17,0
TXN000044,CUST0018,130.85,Delhi,7,344.36,0
TXN000045,CUST0074,1351.83,Hong Kong,23,673.43,1
TXN000046,CUST0161,117.42,Hyderabad,20,1.0,0
TXN000047,CUST0278,452.41,Delhi,10,1186.51,0
TXN000048,CUST0240,299.45,Hyderabad,15,95.05,0
TXN000049,CUST0170,126.72,Delhi,23,361.38,0
TXN000050,CUST0356,424.05,"Toronto, Canada",12,1482.61,1
TXN000051,CUST0020,228.88,Nagpur,18,467.9,0
TXN000052,CUST0279,576.85,Chennai,17,1785.91,0
TXN000053,CUST0411,121.39,Nagpur,9,419.55,0
TXN000054,CUST0179,70.56,Jaipur,21,417.34,0
TXN000055,CUST0444,17.74,Nagpur,17,646.26,0
TXN000056,CUST0262,931.68,Indore,14,374.13,0
TXN000057,CUST0141,264.71,Chennai,4,1.0,0
TXN000058,CUST0353,301.12,Jaipur,18,337.03,0
TXN000059,CUST0253,90.14,Jaipur,7,1.0,0
TXN000060,CUST0438,54.59,Jaipur,16,1081.29,0
TXN000061,CUST0220,75.86,Surat,16,1.0,0
TXN000062,CUST0258,468.88,Chennai,22,1.0,0
TXN000063,CUST0429,85.06,Surat,19,1.0,0
TXN000064,CUST0332,241.35,Indore,14,304.08,0
TXN000065,CUST0115,876.41,Singapore,16,346.95,1
TXN000066,CUST0012,278.27,Indore,0,1076.78,0
TXN000067,CUST0222,375.64,Lucknow,19,898.05,0
TXN000068,CUST0096,137.25,Mumbai,5,1.0,0
TXN000069,CUST0370,430.19,Hong Kong,15,634.77,1
TXN000070,CUST0298,2494.75,"Paris, France",15,5091.56,1
TXN000071,CUST0124,340.35,Nagpur,10,932.36,0
TXN000072,CUST0418,727.46,Hyderabad,15,1243.52,0
TXN000073,CUST0269,121.87,Kolkata,15,1.0,0
TXN000074,CUST0078,84.89,Pune,8,277.5,0
TXN000075,CUST0461,103.61,Pune,18,631.09,0
TXN000076,CUST0484,2912.4,"Frankfurt, Germany",19,1070.01,1
TXN000077,CUST0089,151.07,Bhopal,21,658.11,0
TXN000078,CUST0489,102.94,Kolkata,11,664.28,0
TXN000079,CUST0458,202.22,Pune,7,1.0,0
TXN000080,CUST0115,165.65,Bengaluru,11,57.58,0
TXN000081,CUST0489,280.34,Bengaluru,18,689.29,0
TXN000082,CUST0268,32.82,Bengaluru,12,432.14,0
TXN000083,CUST0001,276.64,"Paris, France",11,976.18,1
TXN000084,CUST0152,84.25,Chennai,8,1.0,0
TXN000085,CUST0446,196.86,Indore,10,1.0,0
TXN000086,CUST0012,52.96,Pune,20,103.89,0
TXN000087,CUST0228,958.34,Jaipur,16,916.45,0
TXN000088,CUST0115,331.97,Ahmedabad,11,85.06,0
TXN000089,CUST0497,609.0,Chennai,21,1019.87,0
TXN000090,CUST0423,133.48,Delhi,19,145.89,0
TXN000091,CUST0382,497.3,"Toronto, Canada",7,1309.78,1
TXN000092,CUST0497,1494.6,Delhi,0,1198.99,0
TXN000093,CUST0451,2066.79,"Toronto, Canada",19,4559.17,1
TXN000094,CUST0316,62.13,Chennai,12,1.0,0
TXN000095,CUST0491,560.59,Nagpur,21,592.92,0
TXN000096,CUST0084,77.96,Hyderabad,9,867.93,0
TXN000097,CUST0147,156.14,Kanpur,13,1.0,0
TXN000098,CUST0061,1707.81,"Sydney, Australia",21,3140.35,1
TXN000099,CUST0105,461.5,Hyderabad,8,1.0,0
TXN000100,CUST0284,324.16,Kolkata,21,1.0,0
TXN000101,CUST0123,1415.78,"London, UK",19,1873.37,1
TXN000102,CUST0420,132.04,"London, UK",21,1.0,1
TXN000103,CUST0110,90.82,Hyderabad,12,1.0,0
TXN000104,CUST0182,935.41,"New York, USA",19,1620.99,1
TXN000105,CUST0030,87.36,Jaipur,13,40.03,0
TXN000106,CUST0150,370.21,Kolkata,17,907.32,0
TXN000107,CUST0106,340.22,Kanpur,19,871.31,0
TXN000108,CUST0109,841.48,Kolkata,12,120.7,0
TXN000109,CUST0229,150.44,Kanpur,11,1.0,0
TXN000110,CUST0418,40.48,Hyderabad,9,1.0,0
TXN000111,CUST0046,736.82,Pune,20,1957.99,0
TXN000112,CUST0350,108.98,Chennai,9,492.19,0
TXN000113,CUST0448,446.73,Jaipur,3,1.0,0
TXN000114,CUST0447,162.5,Mumbai,19,162.55,0
TXN000115,CUST0032,112.63,Mumbai,17,1.0,0
TXN000116,CUST0076,203.56,Hyderabad,16,305.01,0
TXN000117,CUST0351,939.54,Hong Kong,17,3067.28,1
TXN000118,CUST0268,34.19,Mumbai,18,1.0,0
TXN000119,CUST0237,3511.7,Jaipur,17,5699.41,0
TXN000120,CUST0357,73.83,Hyderabad,7,452.65,0
TXN000121,CUST0042,117.67,Delhi,12,512.86,0
TXN000122,CUST0344,420.25,"Tokyo, Japan",13,600.93,1
TXN000123,CUST0183,40.11,Lucknow,17,1.0,0
TXN000124,CUST0479,30.42,Kanpur,7,1.0,0
TXN000125,CUST0316,1364.01,Lucknow,4,1531.6,0
TXN000126,CUST0348,952.99,Chennai,1,1416.43,0
TXN000127,CUST0230,2352.71,"Frankfurt, Germany",9,2627.85,1
TXN000128,CUST0024,1290.73,"Paris, France",13,2828.55,1
TXN000129,CUST0299,102.27,Indore,13,1418.48,0
TXN000130,CUST0348,165.04,Jaipur,18,1.0,0
TXN000131,CUST0166,98.93,Surat,19,336.78,0
TXN000132,CUST0161,259.78,Ahmedabad,17,975.45,0
TXN000133,CUST0388,189.03,Delhi,17,95.16,0
TXN000134,CUST0392,105.54,Chennai,7,1.0,0
TXN000135,CUST0285,78.15,Kanpur,21,536.81,0
TXN000136,CUST0430,465.39,Nagpur,6,875.7,0
TXN000137,CUST0188,76.47,Hyderabad,11,335.51,0
TXN000138,CUST0490,49.96,Bhopal,17,1.0,0
TXN000139,CUST0326,28.97,Hyderabad,9,321.17,0
TXN000140,CUST0430,135.68,Kanpur,23,176.96,0
TXN000141,CUST0424,276.66,Surat,22,1.0,0
TXN000142,CUST0312,178.31,Surat,9,1.0,0
TXN000143,CUST0185,509.82,Lucknow,22,484.36,0
TXN000144,CUST0377,605.67,Kolkata,9,1165.89,0
TXN000145,CUST0177,255.08,Bhopal,14,1.0,0
TXN000146,CUST0335,706.22,Chennai,14,433.83,0
TXN000147,CUST0035,108.05,Surat,0,1620.72,0
TXN000148,CUST0356,142.24,Pune,16,1.0,0
TXN000149,CUST0053,71.97,Mumbai,14,551.0,0
TXN000150,CUST0161,447.34,Hyderabad,20,1422.02,0
TXN000151,CUST0233,262.59,Surat,12,111.06,0
TXN000152,CUST0284,243.91,Mumbai,9,1082.01,0
TXN000153,CUST0321,571.07,Ahmedabad,19,1805.78,0
TXN000154,CUST0079,335.08,Pune,10,1.0,0
TXN000155,CUST0362,96.85,Kanpur,10,721.21,0
TXN000156,CUST0315,1031.07,Kanpur,19,1029.21,0
TXN000157,CUST0417,884.33,"Toronto, Canada",14,2319.25,1
TXN000158,CUST0377,125.79,Singapore,11,749.12,1
TXN000159,CUST0229,16.04,Kanpur,11,267.85,0
TXN000160,CUST0476,194.71,Delhi,23,388.18,0
TXN000161,CUST0146,458.02,Bhopal,13,1489.1,0
TXN000162,CUST0014,1492.77,Chennai,1,278.97,0
TXN000163,CUST0241,196.58,"Paris, France",8,81.09,1
TXN000164,CUST0184,70.94,Indore,17,1.0,0
TXN000165,CUST0026,111.23,Bengaluru,9,342.54,0
TXN000166,CUST0371,210.14,Chennai,14,574.92,0
TXN000167,CUST0395,10.5,Kolkata,11,52.21,0
TXN000168,CUST0160,159.13,Ahmedabad,8,1.0,0
TXN000169,CUST0411,215.35,"New York, USA",15,404.86,1
TXN000170,CUST0023,598.78,Nagpur,16,436.28,0
TXN000171,CUST0139,80.28,Mumbai,21,841.69,0
TXN000172,CUST0109,79.53,Lucknow,11,543.89,0
TXN000173,CUST0354,2236.27,"Paris, France",21,5723.55,1
TXN000174,CUST0373,221.61,Indore,10,104.57,0
TXN000175,CUST0243,141.76,Indore,17,1.0,0
TXN000176,CUST0039,726.35,Mumbai,7,1618.61,0
TXN000177,CUST0249,1120.61,"Dubai, UAE",19,1961.84,1
TXN000178,CUST0403,101.7,Chennai,16,37.06,0
TXN000179,CUST0078,234.29,"Sydney, Australia",9,438.66,1
TXN000180,CUST0220,694.73,Delhi,23,847.22,0
TXN000181,CUST0190,157.95,Chennai,6,561.11,0
TXN000182,CUST0255,205.05,Ahmedabad,15,511.86,0
TXN000183,CUST0131,55.73,Mumbai,18,431.78,0
TXN000184,CUST0040,357.74,Delhi,8,1.0,0
TXN000185,CUST0227,139.01,Chennai,8,756.07,0
TXN000186,CUST0132,960.62,Lucknow,3,134.72,0
TXN000187,CUST0080,406.23,"Tokyo, Japan",16,858.64,1
TXN000188,CUST0256,70.08,Ahmedabad,18,1.0,0
TXN000189,CUST0095,71.77,Surat,20,1.0,0
TXN000190,CUST0158,323.23,Hyderabad,20,1.0,0
TXN000191,CUST0331,459.49,Lucknow,16,762.18,0
TXN000192,CUST0035,381.55,Kolkata,14,897.11,0
TXN000193,CUST0219,284.98,Pune,8,551.25,0
TXN000194,CUST0455,130.78,Kanpur,4,79.18,0
TXN000195,CUST0418,65.34,Chennai,23,392.91,0
TXN000196,CUST0140,696.07,Hyderabad,20,917.71,0
TXN000197,CUST0351,207.81,Surat,10,92.41,0
TXN000198,CUST0447,171.12,Mumbai,7,658.8,0
TXN000199,CUST0327,102.13,Lucknow,19,980.81,0
TXN000200,CUST0144,64.86,Kanpur,12,1.0,0
TXN000201,CUST0128,58.98,Pune,15,354.35,0
TXN000202,CUST0224,181.58,Indore,22,113.63,0
TXN000203,CUST0068,2095.88,Mumbai,20,1381.72,0
TXN000204,CUST0204,302.42,Bhopal,13,1.0,0
TXN000205,CUST0123,540.9,Pune,6,575.23,0
TXN000206,CUST0413,867.09,Surat,6,161.47,0
TXN000207,CUST0199,60.72,Kolkata,19,461.9,0
TXN000208,CUST0328,123.31,Hyderabad,18,1.0,0
TXN000209,CUST0053,163.76,"Sydney, Australia",20,971.49,1
TXN000210,CUST0405,908.18,Nagpur,18,1155.55,0
TXN000211,CUST0298,36.72,Bhopal,17,710.4,0
TXN000212,CUST0346,628.66,"London, UK",22,1231.39,1
TXN000213,CUST0355,44.41,Nagpur,15,1.0,0
TXN000214,CUST0136,180.1,Hong Kong,12,146.66,1
TXN000215,CUST0380,249.13,Chennai,7,1.0,0
TXN000216,CUST0314,156.86,Nagpur,15,848.81,0
TXN000217,CUST0150,171.78,Lucknow,20,688.66,0
TXN000218,CUST0006,1048.68,"London, UK",17,2327.79,1
TXN000219,CUST0415,90.2,Indore,10,591.38,0
TXN000220,CUST0194,256.55,Jaipur,13,108.34,0
TXN000221,CUST0022,183.57,Chennai,10,501.67,0
TXN000222,CUST0241,355.44,Nagpur,18,301.77,0
TXN000223,CUST0099,866.82,Chennai,18,1.0,0
TXN000224,CUST0040,40.64,Kolkata,23,899.48,0
TXN000225,CUST0445,637.07,"Frankfurt, Germany",17,1391.68,1
TXN000226,CUST0129,32.53,Surat,20,1092.45,0
TXN000227,CUST0071,88.06,Nagpur,19,1.0,0
TXN000228,CUST0408,221.08,Surat,15,1.0,0
TXN000229,CUST0275,930.11,Ahmedabad,15,2064.44,0
TXN000230,CUST0265,142.79,Kolkata,17,1.0,0
TXN000231,CUST0023,147.58,Surat,7,478.99,0
TXN000232,CUST0220,790.27,Bengaluru,9,1862.02,0
TXN000233,CUST0389,2416.24,Mumbai,16,1787.89,0
TXN000234,CUST0115,190.0,Mumbai,2,663.06,0
TXN000235,CUST0118,203.58,Lucknow,12,1001.94,0
TXN000236,CUST0430,48.47,Bengaluru,16,1.0,0
TXN000237,CUST0208,148.27,Lucknow,6,1.0,0
TXN000238,CUST0225,51.23,Jaipur,16,937.97,0
TXN000239,CUST0002,105.68,Nagpur,5,949.07,0
TXN000240,CUST0152,168.88,Bengaluru,17,105.0,0
TXN000241,CUST0337,68.5,Surat,15,429.14,0
TXN000242,CUST0342,44.79,Kolkata,12,1388.51,0
TXN000243,CUST0140,389.04,Bengaluru,15,1135.85,0
TXN000244,CUST0068,844.35,Nagpur,9,1066.64,0
TXN000245,CUST0438,151.24,Delhi,23,482.42,0
TXN000246,CUST0249,248.07,Jaipur,11,250.43,0
TXN000247,CUST0287,316.32,Kanpur,12,912.68,0
TXN000248,CUST0340,147.66,Kolkata,8,292.16,0
TXN000249,CUST0162,103.74,Delhi,18,97.18,0
TXN000250,CUST0459,1899.03,Indore,17,1548.67,0
TXN000251,CUST0271,51.18,Surat,20,168.56,0
TXN000252,CUST0254,485.53,"Tokyo, Japan",9,1296.34,1
TXN000253,CUST0032,404.79,Hyderabad,7,542.91,0
TXN000254,CUST0134,129.26,Lucknow,11,839.92,0
TXN000255,CUST0414,198.95,Jaipur,20,448.68,0
TXN000256,CUST0331,43.79,Nagpur,8,1.0,0
TXN000257,CUST0273,97.79,Nagpur,2,414.61,0
TXN000258,CUST0305,233.33,Mumbai,23,330.77,0
TXN000259,CUST0152,91.86,Bengaluru,21,200.68,0
TXN000260,CUST0312,151.82,Hyderabad,20,576.88,0
TXN000261,CUST0257,361.0,Ahmedabad,14,1014.84,0
TXN000262,CUST0328,695.06,Singapore,10,420.52,1
TXN000263,CUST0152,332.58,Lucknow,23,645.6,0
TXN000264,CUST0485,877.18,Ahmedabad,7,2855.57,0
TXN000265,CUST0432,78.09,Kanpur,13,1.0,0
TXN000266,CUST0433,640.5,"Paris, France",17,1310.41,1
TXN000267,CUST0362,632.41,"Sydney, Australia",10,284.68,1
TXN000268,CUST0154,162.54,Indore,8,483.17,0
TXN000269,CUST0463,204.83,Jaipur,16,1.0,0
TXN000270,CUST0409,225.16,Bengaluru,16,144.46,0
TXN000271,CUST0019,204.32,Lucknow,15,142.75,0
TXN000272,CUST0321,251.87,Chennai,15,1.0,0
TXN000273,CUST0443,751.12,Bengaluru,13,672.13,0
TXN000274,CUST0010,170.01,Bhopal,19,187.63,0
TXN000275,CUST0239,963.69,"Sydney, Australia",8,2606.1,1
TXN000276,CUST0066,484.1,"Toronto, Canada",9,1.0,1
TXN000277,CUST0141,48.87,Delhi,7,1.0,0
TXN000278,CUST0473,26.5,Bhopal,20,323.86,0
TXN000279,CUST0120,45.44,Kanpur,9,1.0,0
TXN000280,CUST0096,375.45,Ahmedabad,13,328.25,0
TXN000281,CUST0360,68.55,Surat,19,850.85,0
TXN000282,CUST0422,205.62,Ahmedabad,17,1.0,0
TXN000283,CUST0147,91.49,Kanpur,13,462.5,0
TXN000284,CUST0067,1157.9,Bhopal,10,641.38,0
TXN000285,CUST0244,95.16,Mumbai,8,1.0,0
TXN000286,CUST0159,386.44,Nagpur,9,1.0,0
TXN000287,CUST0017,50.66,Delhi,19,1.0,0
TXN000288,CUST0311,172.89,Bengaluru,10,268.32,0
TXN000289,CUST0478,65.87,Mumbai,6,718.91,0
TXN000290,CUST0291,318.33,Kolkata,18,1.0,0
TXN000291,CUST0147,658.63,Pune,18,724.47,0
TXN000292,CUST0134,1299.93,"Sydney, Australia",10,591.3,1
TXN000293,CUST0386,248.3,Nagpur,4,707.78,0
TXN000294,CUST0431,215.95,Indore,20,641.27,0
TXN000295,CUST0486,75.7,Ahmedabad,9,1.0,0
TXN000296,CUST0413,136.96,"Sydney, Australia",20,478.35,1
TXN000297,CUST0199,71.42,Indore,12,1.0,0
TXN000298,CUST0134,234.58,Mumbai,10,379.86,0
TXN000299,CUST0453,76.04,Delhi,12,1.0,0
TXN000300,CUST0228,2702.91,"Toronto, Canada",12,2535.81,1
TXN000301,CUST0251,92.26,Kanpur,8,1.0,0
TXN000302,CUST0034,135.46,Bhopal,22,843.88,0
TXN000303,CUST0346,310.63,Surat,6,1225.71,0
TXN000304,CUST0197,216.29,Delhi,10,102.75,0
TXN000305,CUST0043,119.29,Lucknow,11,159.64,0
TXN000306,CUST0334,1799.45,Nagpur,10,1690.81,0
TXN000307,CUST0286,371.9,Chennai,11,541.89,0
TXN000308,CUST0333,712.26,"London, UK",9,1507.64,1
TXN000309,CUST0121,92.44,Lucknow,17,593.49,0
TXN000310,CUST0329,157.56,Lucknow,10,470.69,0
TXN000311,CUST0239,228.09,Kanpur,15,285.78,0
TXN000312,CUST0253,201.33,Kanpur,23,318.75,0
TXN000313,CUST0015,191.57,Pune,10,903.43,0
TXN000314,CUST0020,1820.27,Singapore,19,1014.78,1
TXN000315,CUST0014,130.14,Lucknow,17,1.0,0
TXN000316,CUST0048,77.52,Singapore,18,88.7,1
TXN000317,CUST0022,44.46,Lucknow,18,543.54,0
TXN000318,CUST0427,152.5,Indore,7,442.5,0
TXN000319,CUST0396,124.92,Bhopal,11,683.38,0
TXN000320,CUST0150,525.27,Mumbai,12,1050.79,0
TXN000321,CUST0359,159.05,Delhi,23,639.21,0
TXN000322,CUST0488,40.29,Hyderabad,22,899.01,0
TXN000323,CUST0090,245.14,Hyderabad,8,1.0,0
TXN000324,CUST0391,509.06,Mumbai,15,1374.81,0
TXN000325,CUST0348,117.48,Delhi,3,450.05,0
TXN000326,CUST0226,1238.27,Kolkata,19,1830.2,0
TXN000327,CUST0297,774.85,Bhopal,22,1574.5,0
TXN000328,CUST0425,35.42,Delhi,21,1.0,0
TXN000329,CUST0069,250.89,Delhi,11,1.0,0
TXN000330,CUST0099,504.94,Lucknow,20,1167.04,0
TXN000331,CUST0355,1142.26,"Frankfurt, Germany",14,2190.59,1
TXN000332,CUST0039,95.67,Jaipur,6,525.65,0
TXN000333,CUST0002,144.88,Bengaluru,20,545.18,0
TXN000334,CUST0017,2446.84,"Frankfurt, Germany",6,1793.39,1
TXN000335,CUST0455,3930.56,Singapore,10,5757.04,1
TXN000336,CUST0129,87.5,Mumbai,7,1147.61,0
TXN000337,CUST0214,286.71,Pune,20,736.83,0
TXN000338,CUST0444,13.83,Kolkata,16,69.77,0
TXN000339,CUST0237,55.38,Jaipur,16,369.58,0
TXN000340,CUST0194,128.03,Jaipur,8,1.0,0
TXN000341,CUST0324,430.53,Indore,19,1116.91,0
TXN000342,CUST0480,161.11,Bhopal,10,1058.48,0
TXN000343,CUST0326,387.41,Mumbai,19,643.36,0
TXN000344,CUST0202,274.89,Hyderabad,18,1.0,0
TXN000345,CUST0117,423.97,Chennai,6,466.83,0
TXN000346,CUST0315,137.66,Hyderabad,16,268.81,0
TXN000347,CUST0098,941.41,"New York, USA",12,1278.11,1
TXN000348,CUST0347,190.46,Nagpur,7,636.78,0
TXN000349,CUST0088,81.84,Kanpur,10,880.53,0
TXN000350,CUST0242,325.57,Hyderabad,17,347.83,0
TXN000351,CUST0405,46.75,Pune,7,363.19,0
TXN000352,CUST0057,131.49,Delhi,17,1.0,0
TXN000353,CUST0233,268.88,Kanpur,21,996.42,0
TXN000354,CUST0110,443.11,Ahmedabad,18,1.0,0
TXN000355,CUST0171,73.35,Hyderabad,15,239.06,0
TXN000356,CUST0493,1140.34,Singapore,9,1864.74,1
TXN000357,CUST0206,99.79,Chennai,11,783.32,0
TXN000358,CUST0091,1171.63,"Dubai, UAE",11,1518.35,1
TXN000359,CUST0447,29.21,Ahmedabad,11,263.05,0
TXN000360,CUST0487,67.5,Delhi,21,1.0,0
TXN000361,CUST0461,45.61,Pune,22,241.58,0
TXN000362,CUST0074,716.66,Lucknow,20,1186.26,0
TXN000363,CUST0111,34.62,Mumbai,18,1.0,0
TXN000364,CUST0078,96.69,Nagpur,20,1.0,0
TXN000365,CUST0129,206.32,Hyderabad,23,1.0,0
TXN000366,CUST0284,168.87,Pune,19,214.59,0
TXN000367,CUST0146,338.5,Bengaluru,6,692.06,0
TXN000368,CUST0247,56.06,Indore,19,238.34,0
TXN000369,CUST0141,20.24,Jaipur,21,1.0,0
TXN000370,CUST0032,97.06,Bengaluru,19,203.78,0
TXN000371,CUST0113,127.15,Delhi,19,862.91,0
TXN000372,CUST0111,97.66,Hyderabad,13,152.42,0
TXN000373,CUST0204,1331.04,Indore,20,2695.55,0
TXN000374,CUST0283,351.78,Lucknow,15,970.8,0
TXN000375,CUST0292,616.63,"Tokyo, Japan",14,639.6,1
TXN000376,CUST0407,607.12,Jaipur,12,1555.5,0
TXN000377,CUST0425,74.68,Ahmedabad,8,1.0,0
TXN000378,CUST0389,326.89,Delhi,13,639.02,0
TXN000379,CUST0077,1565.72,Chennai,17,104.68,0
TXN000380,CUST0380,395.07,Kolkata,16,1.0,0
TXN000381,CUST0102,349.73,Ahmedabad,15,1256.33,0
TXN000382,CUST0362,1443.07,"London, UK",10,2173.14,1
TXN000383,CUST0381,121.55,Lucknow,10,90.7,0
TXN000384,CUST0160,1177.21,Bengaluru,20,473.97,0
TXN000385,CUST0358,136.99,Nagpur,12,361.41,0
TXN000386,CUST0423,95.01,Surat,12,149.66,0
TXN000387,CUST0256,441.19,Pune,21,656.42,0
TXN000388,CUST0083,325.2,Nagpur,2,734.68,0
TXN000389,CUST0040,359.77,Pune,12,512.03,0
TXN000390,CUST0022,248.36,Hyderabad,0,305.51,0
TXN000391,CUST0327,16.11,Surat,14,192.68,0
TXN000392,CUST0150,16.21,Ahmedabad,6,539.86,0
TXN000393,CUST0300,76.55,Bengaluru,16,1001.12,0
TXN000394,CUST0025,57.56,Bengaluru,11,1071.67,0
TXN000395,CUST0244,89.78,Bhopal,18,1.0,0
TXN000396,CUST0238,505.59,Bhopal,12,721.65,0
TXN000397,CUST0444,207.78,Kanpur,12,96.5,0
TXN000398,CUST0371,1284.55,Kanpur,3,2853.55,0
TXN000399,CUST0232,253.63,Nagpur,9,477.67,0
TXN000400,CUST0107,1103.56,Singapore,17,1356.28,1
TXN000401,CUST0491,491.24,Hyderabad,0,974.93,0
TXN000402,CUST0461,112.69,Indore,15,1.0,0
TXN000403,CUST0098,1235.96,"Paris, France",12,1406.48,1
TXN000404,CUST0161,98.48,Mumbai,18,825.34,0
TXN000405,CUST0032,224.48,Surat,4,1.0,0
TXN000406,CUST0151,100.32,Lucknow,10,1.0,0
TXN000407,CUST0188,98.23,Mumbai,11,1.0,0
TXN000408,CUST0420,2202.13,Nagpur,14,1821.99,0
TXN000409,CUST0452,292.69,Bengaluru,21,419.87,0
TXN000410,CUST0055,3366.16,"Toronto, Canada",17,1412.2,1
TXN000411,CUST0450,57.3,Mumbai,12,420.35,0
TXN000412,CUST0401,50.68,Delhi,11,342.39,0
TXN000413,CUST0410,182.66,Lucknow,23,1.0,0
TXN000414,CUST0131,2058.46,"Toronto, Canada",18,1153.18,1
TXN000415,CUST0261,269.91,Surat,21,1.0,0
TXN000416,CUST0325,388.46,Bhopal,14,32.27,0
TXN000417,CUST0366,95.59,Ahmedabad,17,380.6,0
TXN000418,CUST0020,83.05,Kolkata,17,86.52,0
TXN000419,CUST0068,117.15,Bhopal,10,316.91,0
TXN000420,CUST0461,95.58,Mumbai,11,1.0,0
TXN000421,CUST0429,34.16,Kanpur,7,1204.06,0
TXN000422,CUST0312,990.6,Bhopal,12,548.84,0
TXN000423,CUST0396,73.31,Bengaluru,21,1.0,0
TXN000424,CUST0488,1084.99,Ahmedabad,4,1484.7,0
TXN000425,CUST0304,1000.38,"Tokyo, Japan",12,1185.07,1
TXN000426,CUST0478,33.0,Nagpur,11,604.39,0
TXN000427,CUST0013,50.89,Lucknow,6,1.0,0
TXN000428,CUST0487,384.91,Delhi,17,1112.3,0
TXN000429,CUST0386,99.62,Ahmedabad,18,1.0,0
TXN000430,CUST0449,480.89,Bhopal,10,285.7,0
TXN000431,CUST0390,440.76,Lucknow,4,1318.55,0
TXN000432,CUST0292,67.38,Ahmedabad,8,6.09,0
TXN000433,CUST0261,2255.09,Mumbai,13,4115.76,0
TXN000434,CUST0312,513.92,"London, UK",13,221.9,1
TXN000435,CUST0277,86.09,Bhopal,18,1.0,0
TXN000436,CUST0433,203.01,Kanpur,11,71.93,0
TXN000437,CUST0331,782.95,"Paris, France",9,1.0,1
TXN000438,CUST0489,104.57,Chennai,7,968.71,0
TXN000439,CUST0053,49.52,Delhi,20,128.63,0
TXN000440,CUST0391,288.73,Bhopal,12,227.74,0
TXN000441,CUST0441,83.65,Kanpur,8,192.23,0
TXN000442,CUST0213,47.7,Delhi,11,797.27,0
TXN000443,CUST0476,2041.03,Kolkata,1,3820.59,0
TXN000444,CUST0476,676.79,Pune,14,723.75,0
TXN000445,CUST0252,531.51,"Frankfurt, Germany",20,214.58,1
TXN000446,CUST0148,375.8,Ahmedabad,19,340.83,0
TXN000447,CUST0039,135.13,Kolkata,5,1.0,0
TXN000448,CUST0067,152.95,Bhopal,10,88.9,0
TXN000449,CUST0040,35.78,Surat,23,530.59,0
TXN000450,CUST0093,2412.59,Singapore,17,4969.52,1
TXN000451,CUST0381,278.57,Hyderabad,7,925.15,0
TXN000452,CUST0249,142.56,Chennai,17,7.9,0
TXN000453,CUST0096,196.86,Hong Kong,9,404.89,1
TXN000454,CUST0322,108.21,Indore,13,541.65,0
TXN000455,CUST0266,203.46,Kolkata,21,591.98,0
TXN000456,CUST0080,186.61,Kanpur,13,35.67,0
TXN000457,CUST0364,46.06,Ahmedabad,17,147.56,0
